Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
12/28/2017,77.80,77.05,78.00,76.95,573.48K,0.97%,112149.71
12/29/2017,78.10,78.00,78.15,77.30,791.57K,0.39%,114480.45
01/02/2018,79.75,78.10,79.95,78.05,611.17K,2.11%,115333.01
01/03/2018,77.20,79.80,79.80,77.10,866.91K,-3.20%,117524.20
01/04/2018,76.00,77.20,77.20,75.75,1.04M,-1.55%,116052.15
01/05/2018,76.65,76.50,77.05,75.35,1.02M,0.86%,115491.19
01/08/2018,76.00,76.75,76.95,75.95,768.31K,-0.85%,116637.94
01/09/2018,76.20,75.80,76.65,75.15,965.28K,0.26%,116304.51
01/10/2018,76.00,75.80,76.30,75.65,914.04K,-0.26%,115022.81
01/11/2018,75.65,76.15,76.15,74.80,637.08K,-0.46%,113589.45
01/12/2018,75.40,76.25,76.25,75.15,546.50K,-0.33%,114718.80
01/15/2018,75.90,75.30,76.05,74.95,486.90K,0.66%,114644.62
01/16/2018,76.15,75.00,76.45,75.00,788.63K,0.33%,112159.21
01/17/2018,77.05,75.80,77.35,75.30,847.37K,1.18%,114418.36
01/18/2018,77.30,77.40,77.50,76.30,714.83K,0.32%,116592.51
01/19/2018,75.75,76.70,76.90,75.20,581.21K,-2.01%,116856.02
01/22/2018,75.55,75.75,76.25,74.60,951.40K,-0.26%,115147.06
01/23/2018,76.45,75.60,76.70,74.80,1.04M,1.19%,117235.47
01/24/2018,76.40,76.35,77.00,75.65,837.01K,-0.07%,118400.06
01/25/2018,76.00,76.30,76.30,75.75,1.56M,-0.52%,119648.37
01/26/2018,76.70,76.20,76.70,75.75,935.76K,0.92%,118604.05
01/29/2018,76.00,76.75,77.10,75.55,1.18M,-0.91%,120701.92
01/30/2018,75.70,75.50,76.25,75.50,1.06M,-0.39%,120845.29
01/31/2018,75.15,75.35,76.00,75.15,663.27K,-0.73%,119303.10
02/01/2018,75.20,75.15,75.55,75.10,890.71K,0.07%,119528.79
02/02/2018,74.00,75.20,75.35,73.35,857.16K,-1.60%,119044.38
02/05/2018,74.25,74.00,74.30,73.25,803.13K,0.34%,118119.40
02/06/2018,72.35,73.50,73.90,72.10,740.28K,-2.56%,116852.68
02/07/2018,72.00,72.35,72.50,71.25,1.64M,-0.48%,115457.30
02/08/2018,72.35,71.70,72.90,71.40,776.92K,0.49%,115570.19
02/09/2018,71.00,71.80,72.20,71.00,565.90K,-1.87%,114263.53
02/12/2018,71.10,71.50,71.80,70.85,481.57K,0.14%,113590.27
02/13/2018,71.85,71.20,73.00,71.15,745.80K,1.05%,114821.60
02/14/2018,72.05,72.50,72.65,71.75,385.55K,0.28%,114494.50
02/15/2018,72.70,73.00,73.00,72.10,393.56K,0.90%,113454.95
02/16/2018,73.45,73.00,73.90,72.50,371.17K,1.03%,116225.60
02/19/2018,74.05,73.25,74.45,73.25,475.58K,0.82%,116510.97
02/20/2018,73.80,74.10,74.40,73.30,436.83K,-0.34%,115881.96
02/21/2018,74.05,73.70,74.05,73.00,949.56K,0.34%,113432.85
02/22/2018,73.30,73.85,74.15,72.50,895.98K,-1.01%,116315.98
02/23/2018,73.10,73.65,73.70,73.10,617.81K,-0.27%,116840.94
02/26/2018,75.20,73.30,75.20,73.25,524.31K,2.87%,117521.50
02/27/2018,75.60,75.20,75.65,74.60,645.61K,0.53%,118791.91
02/28/2018,75.20,75.10,75.75,74.60,928.30K,-0.53%,118831.60
03/01/2018,72.50,74.75,75.15,72.40,1.05M,-3.59%,118950.76
03/02/2018,73.35,72.35,73.35,71.95,737.76K,1.17%,117632.07
03/05/2018,74.60,73.30,74.60,72.50,547.71K,1.70%,116859.19
03/06/2018,73.30,74.60,76.25,73.30,1.19M,-1.74%,116946.22
03/07/2018,73.05,72.85,73.15,72.50,559.32K,-0.34%,116709.93
03/08/2018,74.90,73.00,75.10,72.90,648.43K,2.53%,116842.44
03/09/2018,77.65,74.90,78.50,74.90,751.06K,3.67%,116567.08
03/12/2018,76.60,78.15,78.75,76.50,280.22K,-1.35%,116914.52
03/13/2018,76.95,76.50,77.75,76.10,435.60K,0.46%,118411.44
03/14/2018,75.35,76.70,76.70,75.35,462.39K,-2.08%,118266.86
03/15/2018,75.55,75.40,75.80,75.10,386.88K,0.27%,117592.67
03/16/2018,76.30,75.90,76.30,74.90,1.11M,0.99%,117201.54
03/19/2018,75.75,76.05,76.15,74.90,534.85K,-0.72%,117216.28
03/20/2018,74.20,76.10,76.15,74.10,968.81K,-2.05%,115450.26
03/21/2018,74.60,74.20,74.90,74.10,833.23K,0.54%,116431.78
03/22/2018,74.30,74.80,75.00,74.00,503.87K,-0.40%,117651.30
03/23/2018,72.85,74.05,74.05,72.30,1.02M,-1.95%,117110.25
03/26/2018,72.50,72.75,73.10,72.40,563.31K,-0.48%,116602.82
03/27/2018,72.30,72.85,73.10,72.20,644.14K,-0.28%,116420.34
03/28/2018,72.00,71.95,72.30,71.40,1.30M,-0.41%,116196.54
03/29/2018,71.35,72.00,72.00,71.35,571.25K,-0.90%,114129.30
03/30/2018,71.90,71.55,72.40,71.55,177.12K,0.77%,114844.56
04/02/2018,71.65,72.75,72.75,71.65,125.19K,-0.35%,114930.22
04/03/2018,71.55,71.65,72.05,71.35,626.52K,-0.14%,114442.10
04/04/2018,71.00,71.45,71.60,71.00,930.95K,-0.77%,114594.06
04/05/2018,71.40,71.10,71.80,70.75,659.33K,0.56%,113975.62
04/06/2018,71.00,70.95,71.30,70.85,489.78K,-0.56%,114947.58
04/09/2018,71.25,71.00,71.90,71.00,1.12M,0.35%,114737.54
04/10/2018,70.85,71.25,71.30,70.10,941.20K,-0.56%,113156.08
04/11/2018,70.20,70.70,70.70,69.30,1.86M,-0.92%,110712.70
04/12/2018,70.25,69.55,70.85,69.55,677.71K,0.07%,109253.20
04/13/2018,70.40,70.25,70.50,70.00,596.73K,0.21%,110235.41
04/16/2018,70.60,70.40,70.85,70.10,556.08K,0.28%,109604.01
04/17/2018,71.10,70.80,71.45,69.85,1.15M,0.71%,110687.74
04/18/2018,70.85,71.10,71.45,70.25,1.31M,-0.35%,108744.79
04/19/2018,70.50,70.85,70.90,70.40,623.58K,-0.49%,112099.01
04/20/2018,70.25,70.55,70.80,70.25,775.91K,-0.35%,112122.15
04/24/2018,71.25,70.00,71.25,70.00,899.05K,1.42%,110932.48
04/25/2018,72.70,71.50,73.35,71.10,1.20M,2.04%,110058.62
04/26/2018,72.05,72.80,72.95,71.70,743.56K,-0.89%,107401.38
04/27/2018,71.10,72.05,72.35,71.10,676.05K,-1.32%,107015.13
04/30/2018,68.95,71.10,71.55,68.85,1.32M,-3.02%,107614.27
05/02/2018,69.10,69.05,70.05,68.55,1.50M,0.22%,104282.78
05/03/2018,69.00,69.10,69.20,68.45,996.17K,-0.14%,104725.74
05/04/2018,68.20,68.95,69.00,67.80,930.66K,-1.16%,102909.13
05/07/2018,68.20,68.30,68.85,68.00,493.66K,0.00%,102599.22
05/08/2018,68.65,68.20,68.80,67.75,632.81K,0.66%,100866.24
05/09/2018,69.30,68.55,69.65,68.25,1.44M,0.95%,99363.79
