Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
04/30/2018,8.003,8.421,8.429,7.940,14.87M,-4.51%,107614.27
05/02/2018,8.468,8.066,8.468,8.051,16.69M,5.81%,104282.78
05/03/2018,8.421,8.468,8.689,8.271,18.64M,-0.56%,104725.74
05/04/2018,8.279,8.413,8.563,8.169,17.01M,-1.69%,102909.13
05/07/2018,7.783,8.224,8.271,7.783,13.74M,-5.99%,102599.22
05/08/2018,8.121,7.830,8.200,7.798,23.27M,4.34%,100866.24
05/09/2018,8.295,8.035,8.334,7.925,15.06M,2.14%,99363.79
05/10/2018,8.326,8.358,8.405,8.082,11.08M,0.37%,100780.57
05/11/2018,8.444,8.334,8.665,8.326,16.28M,1.42%,102380.68
05/14/2018,8.736,8.500,8.799,8.452,9.70M,3.46%,101852.48
05/15/2018,8.886,8.641,8.925,8.602,16.91M,1.72%,103370.42
05/16/2018,9.185,8.901,9.232,8.862,14.04M,3.36%,101540.39
05/17/2018,9.106,9.185,9.295,9.027,9.88M,-0.86%,102157.88
05/18/2018,9.043,9.106,9.350,8.988,9.10M,-0.69%,101869.35
05/21/2018,9.185,9.059,9.280,9.004,7.86M,1.57%,102410.30
05/22/2018,9.358,9.201,9.429,9.051,9.37M,1.88%,102257.65
05/23/2018,9.075,9.256,9.358,8.988,12.68M,-3.02%,103327.74
05/24/2018,8.909,9.232,9.327,8.870,10.25M,-1.83%,101891.68
05/25/2018,9.405,8.980,9.413,8.949,13.59M,5.57%,101138.08
05/28/2018,9.744,9.453,9.807,9.398,12.88M,3.60%,103200.08
05/29/2018,10.040,9.719,10.057,9.660,13.33M,3.04%,106525.25
05/30/2018,9.812,9.989,10.124,9.744,15.20M,-2.27%,105113.38
05/31/2018,9.491,9.863,9.913,8.908,24.04M,-3.27%,103869.02
06/01/2018,9.541,9.499,9.896,9.220,18.17M,0.53%,100652.27
06/04/2018,9.550,9.575,9.710,9.465,11.04M,0.09%,99171.21
06/05/2018,9.482,9.601,9.651,9.457,10.41M,-0.71%,99249.80
06/06/2018,9.296,9.524,9.567,9.136,13.68M,-1.96%,97823.15
06/07/2018,9.389,9.288,9.524,9.220,9.91M,1.00%,96657.71
06/08/2018,8.722,9.347,9.347,8.662,13.08M,-7.10%,98623.65
06/11/2018,9.026,8.722,9.102,8.468,18.73M,3.49%,95875.71
06/12/2018,8.967,8.967,9.102,8.806,13.19M,-0.65%,96661.36
06/13/2018,8.857,8.916,9.094,8.781,14.95M,-1.23%,95306.98
06/14/2018,8.941,8.832,9.127,8.603,10.85M,0.95%,93504.76
06/18/2018,8.713,8.933,8.933,8.603,10.85M,-2.55%,94540.84
06/19/2018,9.203,8.662,9.254,8.620,13.73M,5.62%,93043.28
06/20/2018,8.848,9.169,9.169,8.815,14.23M,-3.86%,94436.87
06/21/2018,8.840,8.848,8.874,8.654,13.39M,-0.09%,94551.86
06/22/2018,8.891,8.874,9.017,8.772,10.73M,0.58%,95057.23
06/25/2018,8.671,9.085,9.169,8.578,10.83M,-2.47%,95852.11
06/26/2018,8.823,8.722,8.848,8.603,9.99M,1.75%,94008.29
06/27/2018,8.705,8.832,8.958,8.696,13.36M,-1.34%,94408.19
06/28/2018,8.620,8.705,8.806,8.620,12.04M,-0.98%,95954.80
06/29/2018,8.620,8.671,8.747,8.603,12.26M,0.00%,96226.99
07/02/2018,8.654,8.578,8.671,8.493,13.01M,0.39%,96520.07
07/03/2018,8.924,8.654,9.085,8.612,22.12M,3.12%,96773.49
07/04/2018,8.857,8.984,8.992,8.815,9.67M,-0.75%,96588.20
07/05/2018,9.085,8.882,9.153,8.882,12.08M,2.57%,97230.07
07/06/2018,8.992,9.127,9.161,8.908,11.29M,-1.02%,99097.00
07/09/2018,8.992,9.094,9.195,8.891,11.47M,0.00%,98733.89
07/10/2018,9.246,8.874,9.246,8.848,18.32M,2.82%,99252.84
07/11/2018,9.169,9.203,9.347,8.950,17.72M,-0.83%,96274.69
07/12/2018,8.586,9.169,9.246,8.400,28.19M,-6.36%,91289.47
07/13/2018,8.460,8.620,8.671,8.265,16.78M,-1.47%,89571.25
07/16/2018,8.569,8.536,8.671,8.400,13.27M,1.29%,89897.67
07/17/2018,8.950,8.561,8.950,8.536,15.93M,4.45%,89744.01
07/18/2018,9.330,8.916,9.415,8.891,20.89M,4.25%,91629.55
07/19/2018,9.524,9.339,9.634,9.178,24.87M,2.08%,92321.95
07/20/2018,9.499,9.499,9.567,9.322,9.20M,-0.26%,93002.93
07/23/2018,9.499,9.465,9.634,9.465,10.15M,0.00%,94082.34
07/24/2018,9.102,9.482,9.550,9.102,16.60M,-4.18%,95305.15
07/25/2018,9.271,9.085,9.305,9.034,18.41M,1.86%,92133.82
07/26/2018,9.186,9.313,9.322,8.975,20.43M,-0.92%,95368.59
07/27/2018,9.262,9.169,9.296,9.102,11.42M,0.83%,94817.26
07/30/2018,9.296,9.178,9.330,9.153,9.68M,0.37%,95584.84
07/31/2018,9.330,9.237,9.406,9.220,18.45M,0.37%,96157.74
08/01/2018,9.871,9.355,9.871,9.347,28.41M,5.80%,96952.23
08/02/2018,10.175,9.719,10.192,9.617,23.71M,3.08%,97210.57
08/03/2018,10.015,10.150,10.234,9.863,16.15M,-1.57%,94543.27
08/06/2018,9.905,9.930,10.049,9.829,10.63M,-1.10%,95610.48
08/07/2018,10.226,9.930,10.226,9.854,12.72M,3.24%,94173.97
08/08/2018,10.243,10.217,10.327,10.124,11.96M,0.17%,96161.04
08/09/2018,10.319,10.091,10.471,9.964,16.18M,0.74%,96973.85
08/10/2018,9.998,9.719,10.513,8.739,38.57M,-3.11%,97185.13
08/13/2018,9.601,9.964,10.293,9.381,39.82M,-3.97%,94939.63
08/14/2018,9.482,9.719,10.015,9.296,25.43M,-1.24%,92684.55
08/15/2018,9.601,9.643,9.939,9.440,26.18M,1.26%,93418.65
08/16/2018,8.815,9.812,9.812,8.781,26.72M,-8.19%,90262.95
08/17/2018,9.575,8.772,9.575,8.620,29.46M,8.62%,87143.21
08/20/2018,9.457,9.533,9.643,9.313,6.85M,-1.23%,88734.76
